# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 22 12:47:16 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_disc:        Year of Discovery
#
loc_rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbeccen,st_dist,st_teff,st_rad,pl_eqt,pl_rade,pl_disc
40,AB Pic,b,Imaging,1,,,45.52,,,,,2005
41,BD+03 2562,b,Radial Velocity,1,481.90000000,0.200000,2618.00,4095.00,32.35,,,2017
42,BD+14 4559,b,Radial Velocity,1,268.94000000,0.290000,50.03,5008.00,0.95,,,2009
43,BD+15 2375,b,Radial Velocity,1,153.22000000,0.001000,774.00,4649.00,8.95,,,2016
44,BD+15 2940,b,Radial Velocity,1,137.48000000,0.260000,175.44,4796.00,14.70,,,2013
45,BD+20 1790,b,Radial Velocity,1,7.78287000,0.220000,25.40,4410.00,0.71,,,2010
46,BD+20 2457,b,Radial Velocity,2,379.63000000,0.150000,200.00,4137.00,49.00,,,2009
47,BD+20 2457,c,Radial Velocity,2,621.99000000,0.180000,200.00,4137.00,49.00,,,2009
48,BD+20 274,b,Radial Velocity,1,578.20000000,0.210000,,4296.00,17.30,,,2012
49,BD+20 594,b,Transit,1,41.68550000,0.000000,,5766.00,0.93,546,2.230,2016
50,BD+48 738,b,Radial Velocity,1,392.60000000,0.200000,,4414.00,11.00,,,2011
51,BD+48 740,b,Radial Velocity,1,733.00000000,0.760000,751.87,4534.00,10.33,,,2018
52,BD+49 828,b,Radial Velocity,1,2590.00000000,0.350000,,4943.00,7.60,,,2015
53,BD-06 1339,b,Radial Velocity,2,3.87280000,0.000000,20.10,4324.00,,,,2013
54,BD-06 1339,c,Radial Velocity,2,125.94000000,0.310000,20.10,4324.00,,,,2013
55,BD-08 2823,b,Radial Velocity,2,5.60000000,0.150000,42.09,4746.00,,,,2009
56,BD-08 2823,c,Radial Velocity,2,237.60000000,0.190000,42.09,4746.00,,,,2009
57,BD-10 3166,b,Radial Velocity,1,3.48777000,0.019000,80.00,5393.00,,,,2000
58,BD-11 4672,b,Radial Velocity,1,1667.00000000,0.050000,27.30,4475.00,0.52,,,2014
59,BD-13 2130,b,Radial Velocity,1,714.30000000,0.210000,766.00,,,,,2007
60,BD-17 63,b,Radial Velocity,1,655.60000000,0.540000,37.54,4714.00,0.69,,,2008
61,CFBDSIR J145829+101343,b,Imaging,1,10037.50000000,,23.10,580.50,,370,,2011
62,CHXR 73,b,Imaging,1,,,,,,,,2006
63,CT Cha,b,Imaging,1,,,165.00,,,2600,24.660,2007
64,CoRoT-1,b,Transit,1,1.50895570,0.000000,,5950.00,1.11,1898,16.700,2008
65,CoRoT-10,b,Transit,1,13.24060000,0.530000,345.00,5075.00,0.79,600,10.870,2010
66,CoRoT-11,b,Transit,1,2.99433000,0.000000,560.00,6440.00,1.37,1657,16.030,2010
67,CoRoT-12,b,Transit,1,2.82804200,0.070000,1150.00,5675.00,1.12,1442,16.140,2010
68,CoRoT-13,b,Transit,1,4.03519000,0.000000,1060.00,5945.00,1.01,1700,9.920,2010
69,CoRoT-14,b,Transit,1,1.51214000,0.000000,1340.00,6035.00,1.21,1952,12.220,2010
70,CoRoT-16,b,Transit,1,5.35227000,0.330000,840.00,5650.00,1.19,,13.110,2011
71,CoRoT-17,b,Transit,1,3.76810000,0.000000,920.00,5740.00,1.59,1626,11.430,2011
72,CoRoT-18,b,Transit,1,1.90006930,0.080000,870.00,5440.00,1.00,1550,14.680,2011
73,CoRoT-19,b,Transit,1,3.89713000,0.047000,770.00,6090.00,1.65,2000,14.460,2011
74,CoRoT-2,b,Transit,1,1.74299350,0.014300,200.00,5625.00,0.91,,16.432,2008
75,CoRoT-20,b,Transit,1,9.24285000,0.562000,1230.00,5880.00,1.02,1002,9.420,2011
76,CoRoT-22,b,Transit,1,9.75598000,0.077000,592.00,5939.00,1.14,885,4.880,2014
77,CoRoT-23,b,Transit,1,3.63130000,0.160000,600.00,5900.00,1.61,1660,11.770,2011
78,CoRoT-24,b,Transit,2,5.11340000,0.000000,600.00,4950.00,0.86,1070,3.700,2014
79,CoRoT-24,c,Transit,2,11.75900000,0.000000,600.00,4950.00,0.86,850,5.000,2014
80,CoRoT-25,b,Transit,1,4.86069000,0.000000,1000.00,6040.00,1.19,1330,12.110,2013
81,CoRoT-26,b,Transit,1,4.20474000,0.000000,1670.00,5590.00,1.79,1600,14.120,2013
82,CoRoT-27,b,Transit,1,3.57532000,0.065000,,5900.00,1.08,1500,11.287,2014
83,CoRoT-28,b,Transit,1,5.20851000,0.047000,560.00,5150.00,1.78,,10.705,2015
84,CoRoT-29,b,Transit,1,2.85057000,0.082000,765.00,5260.00,0.90,,10.088,2015
85,CoRoT-3,b,Transit,1,4.25680000,0.000000,680.00,6740.00,1.56,,11.320,2008
86,CoRoT-4,b,Transit,1,9.20205000,0.000000,,6190.00,1.17,1074,13.340,2008
87,CoRoT-5,b,Transit,1,4.03789620,0.090000,,6100.00,1.19,1438,15.558,2009
88,CoRoT-6,b,Transit,1,8.88659300,0.100000,,6090.00,1.02,1017,13.068,2009
89,CoRoT-7,b,Transit,2,0.85359159,0.000000,153.70,5259.00,0.82,1756,1.585,2009
90,CoRoT-7,c,Radial Velocity,2,3.69800000,0.000000,153.70,5259.00,0.82,,,2009
91,CoRoT-8,b,Transit,1,6.21229000,0.000000,380.00,5080.00,0.77,,6.390,2010
92,CoRoT-9,b,Transit,1,95.27265600,0.133000,460.00,5625.00,0.96,420,11.949,2009
93,CoRoTID 223977153,b,Transit,1,6.71837000,,,5970.00,0.79,938,6.389,2017
94,DENIS-P J082303.1-491201,b,Astrometry,1,246.36000000,0.345000,20.77,,,,,2013
95,DH Tau,b,Imaging,1,,,140.00,,0.27,,,2004
96,DP Leo,b,Eclipse Timing Variations,1,10220.00000000,0.390000,,,,,,2009
97,EPIC 211822797,b,Transit,1,21.16986100,0.060000,,4148.21,0.57,,1.980,2016
98,EPIC 220674823,b,Transit,2,0.57133600,,,5496.00,0.95,2063,1.820,2016
99,EPIC 220674823,c,Transit,2,13.33870000,,,5496.00,0.95,722,2.770,2016
100,FU Tau,b,Imaging,1,,,140.00,2838.00,,2375,,2008
101,Fomalhaut,b,Imaging,1,555530.00000000,0.870000,7.70,,,,,2008
102,GJ 1132,b,Transit,1,1.62892870,,12.04,,0.26,644,1.430,2015
103,GJ 1148,b,Radial Velocity,2,41.38000000,0.380000,11.03,,,,,2010
104,GJ 1148,c,Radial Velocity,2,532.58000000,0.342000,11.03,,,,,2017
105,GJ 1214,b,Transit,1,1.58040456,,12.95,3170.00,0.18,,2.847,2009
106,GJ 163,b,Radial Velocity,3,8.63182000,0.073000,14.97,3500.00,,,,2013
107,GJ 163,c,Radial Velocity,3,25.63058000,0.099000,14.97,3500.00,,,,2013
108,GJ 163,d,Radial Velocity,3,603.95116000,0.373000,14.97,3500.00,,,,2013
109,GJ 179,b,Radial Velocity,1,2288.00000000,0.210000,12.12,3370.00,0.38,,,2009
110,GJ 273,b,Radial Velocity,2,18.64980000,0.100000,3.80,3382.00,0.29,,,2017
111,GJ 273,c,Radial Velocity,2,4.72340000,0.170000,3.80,3382.00,0.29,,,2017
112,GJ 3021,b,Radial Velocity,1,133.71000000,0.511000,17.62,5540.00,0.90,350,,2000
113,GJ 3138,b,Radial Velocity,3,1.22003000,0.190000,28.48,3717.00,0.50,,,2017
114,GJ 3138,c,Radial Velocity,3,5.97400000,0.110000,28.48,3717.00,0.50,,,2017
115,GJ 3138,d,Radial Velocity,3,257.80000000,0.320000,28.48,3717.00,0.50,,,2017
116,GJ 317,b,Radial Velocity,1,692.00000000,0.110000,15.10,3510.00,,,,2007
117,GJ 328,b,Radial Velocity,1,4100.00000000,0.370000,20.03,3900.00,,,,2013
118,GJ 3293,b,Radial Velocity,4,30.59870000,0.060000,15.77,3466.00,0.40,,,2015
119,GJ 3293,c,Radial Velocity,4,122.61960000,0.110000,15.77,3466.00,0.40,,,2015
120,GJ 3293,d,Radial Velocity,4,48.13450000,0.120000,15.77,3466.00,0.40,,,2017
121,GJ 3293,e,Radial Velocity,4,13.25430000,0.210000,15.77,3466.00,0.40,,,2017
122,GJ 3323,b,Radial Velocity,2,5.36360000,0.230000,5.32,3159.00,0.12,,,2017
123,GJ 3323,c,Radial Velocity,2,40.54000000,0.170000,5.32,3159.00,0.12,,,2017
124,GJ 3341,b,Radial Velocity,1,14.20700000,0.310000,23.16,3526.00,0.44,,,2015
125,GJ 3470,b,Radial Velocity,1,3.33664870,0.017000,25.20,3652.00,0.48,604,3.880,2012
126,GJ 3634,b,Radial Velocity,1,2.64561000,0.080000,19.80,,0.43,,,2010
127,GJ 3942,b,Radial Velocity,1,6.90500000,0.121000,16.96,3867.00,0.61,590,,2017
128,GJ 3998,b,Radial Velocity,2,2.64977000,0.000000,17.79,3722.00,0.49,,,2016
129,GJ 3998,c,Radial Velocity,2,13.74000000,0.049000,17.79,3722.00,0.49,,,2016
130,GJ 433,b,Radial Velocity,1,7.37090000,0.080000,9.04,3600.00,,,,2011
131,GJ 436,b,Radial Velocity,1,2.64388312,0.138270,10.23,,0.46,,4.170,2004
132,GJ 504,b,Imaging,1,,,17.95,6234.00,,510,,2013
133,GJ 536,b,Radial Velocity,1,8.70760000,0.080000,10.03,3685.00,0.50,,,2016
134,GJ 581,b,Radial Velocity,3,5.36860000,0.000000,6.27,,0.29,,,2005
135,GJ 581,c,Radial Velocity,3,12.91400000,0.000000,6.27,,0.29,,,2007
136,GJ 581,e,Radial Velocity,3,3.14900000,0.000000,6.27,,0.29,,,2009
137,GJ 625,b,Radial Velocity,1,14.62800000,0.130000,6.49,3499.00,0.31,,,2017
138,GJ 649,b,Radial Velocity,1,598.30000000,0.300000,10.32,3700.00,,,,2009
139,GJ 667 C,b,Radial Velocity,5,7.20040000,0.130000,6.80,3350.00,,,,2011
140,GJ 667 C,c,Radial Velocity,5,28.14000000,0.020000,6.80,3350.00,,,,2011
141,GJ 667 C,e,Radial Velocity,5,62.24000000,0.020000,6.80,3350.00,,,,2013
142,GJ 667 C,f,Radial Velocity,5,39.02600000,0.030000,6.80,3350.00,,,,2013
143,GJ 667 C,g,Radial Velocity,5,256.20000000,0.080000,6.80,3350.00,,,,2013
144,GJ 674,b,Radial Velocity,1,4.69380000,0.200000,4.54,3600.00,,,,2007
145,GJ 676 A,b,Radial Velocity,4,1051.10000000,0.323000,16.90,,,,,2010
146,GJ 676 A,c,Radial Velocity,4,7337.00000000,,16.90,,,,,2016
147,GJ 676 A,d,Radial Velocity,4,3.60050000,0.262000,16.90,,,,,2012
148,GJ 676 A,e,Radial Velocity,4,35.39000000,0.125000,16.90,,,,,2012
149,GJ 687,b,Radial Velocity,1,38.14000000,0.040000,4.53,3413.00,0.42,,,2014
150,GJ 832,b,Radial Velocity,2,3657.00000000,0.080000,4.94,3472.00,,,,2008
151,GJ 832,c,Radial Velocity,2,35.68000000,0.180000,4.94,3472.00,,,,2014
152,GJ 849,b,Radial Velocity,1,1845.00000000,0.050000,8.77,,,,,2006
153,GJ 86,b,Radial Velocity,1,15.76491000,0.041600,10.91,5151.00,,,,1999
154,GJ 876,b,Radial Velocity,4,61.11660000,0.032400,4.70,,0.30,,,1998
155,GJ 876,c,Radial Velocity,4,30.08810000,0.255910,4.70,,0.30,,,2000
156,GJ 876,d,Radial Velocity,4,1.93778000,0.207000,4.70,,0.30,,,2005
157,GJ 876,e,Radial Velocity,4,124.26000000,0.055000,4.70,,0.30,,,2010
158,GJ 9827,b,Transit,3,1.20895700,,30.30,4255.00,0.65,1044,1.750,2017
159,GJ 9827,c,Transit,3,3.64802000,,30.30,4255.00,0.65,722,1.360,2017
160,GJ 9827,d,Transit,3,6.20141000,,30.30,4255.00,0.65,605,2.100,2017
161,GQ Lup,b,Imaging,1,,,139.00,,,2650,33.600,2004
162,GSC 06214-00210,b,Imaging,1,,,145.00,4200.00,,2300,,2010
163,GU Psc,b,Imaging,1,,,48.00,,,1050,14.179,2014
164,HAT-P-1,b,Transit,1,4.46529976,,139.00,5980.00,1.17,1322,14.785,2006
165,HAT-P-11,b,Transit,1,4.88781620,0.198000,38.00,4780.00,0.75,878,4.730,2008
166,HAT-P-12,b,Transit,1,3.21305980,0.000000,142.50,4650.00,0.70,963,10.749,2009
167,HAT-P-13,b,Transit,2,2.91625000,0.013300,214.00,5653.00,1.56,,14.258,2009
168,HAT-P-13,c,Radial Velocity,2,446.27000000,0.661600,214.00,5653.00,1.56,,,2009
169,HAT-P-14,b,Transit,1,4.62766900,0.107000,205.00,6600.00,1.47,1570,12.890,2010
170,HAT-P-15,b,Transit,1,10.86350200,0.190000,190.00,5568.00,1.08,904,12.016,2010
171,HAT-P-16,b,Transit,1,2.77596000,0.036000,235.00,6158.00,1.24,1626,14.448,2010
172,HAT-P-17,b,Transit,2,10.33852300,0.342000,90.00,5246.00,0.84,792,11.321,2010
173,HAT-P-17,c,Radial Velocity,2,5584.00000000,0.390000,90.00,5246.00,0.84,,,2010
174,HAT-P-18,b,Transit,1,5.50802300,0.084000,166.00,4803.00,0.75,852,11.153,2010
175,HAT-P-19,b,Transit,1,4.00877800,0.067000,215.00,4990.00,0.82,1010,12.689,2010
176,HAT-P-2,b,Transit,1,5.63347290,0.517100,135.32,6290.00,1.64,1540,12.969,2007
177,HAT-P-20,b,Transit,1,2.87531700,0.015000,70.00,4595.00,0.69,970,9.718,2010
178,HAT-P-21,b,Transit,1,4.12448100,0.228000,254.00,5588.00,1.10,1283,11.478,2010
179,HAT-P-22,b,Transit,1,3.21222000,0.016000,82.00,5302.00,1.04,1283,12.106,2010
180,HAT-P-23,b,Transit,1,1.21288287,0.000000,393.00,5885.00,1.09,1951,13.720,2010
181,HAT-P-24,b,Transit,1,3.35524000,0.067000,396.00,6373.00,1.32,1637,13.922,2010
182,HAT-P-25,b,Transit,1,3.65283600,0.032000,297.00,5500.00,0.96,1202,13.339,2010
183,HAT-P-26,b,Transit,1,4.23451600,0.124000,134.00,5079.00,0.79,1001,6.333,2010
184,HAT-P-27,b,Transit,1,3.03957700,0.000000,204.00,5300.00,0.90,,11.430,2011
185,HAT-P-28,b,Transit,1,3.25721500,0.051000,395.00,5680.00,1.10,1384,13.585,2011
186,HAT-P-29,b,Transit,1,5.72318600,0.095000,322.00,6087.00,1.22,1260,12.408,2011
187,HAT-P-3,b,Transit,1,2.89973600,0.000000,138.00,5185.00,0.80,,9.270,2007
188,HAT-P-30,b,Transit,1,2.81059500,0.035000,193.00,6304.00,1.22,1630,15.020,2011
189,HAT-P-31,b,Transit,1,5.00542500,0.245000,354.00,6065.00,1.36,1450,11.990,2011
190,HAT-P-32,b,Transit,1,2.15000805,0.007200,283.00,6269.00,1.22,,20.053,2011
191,HAT-P-33,b,Transit,1,3.47447400,0.000000,387.00,6446.00,1.64,1782,18.898,2011
192,HAT-P-34,b,Transit,1,5.45265400,0.441000,257.00,6442.00,1.53,1520,13.417,2011
193,HAT-P-35,b,Transit,1,3.64670600,0.025000,535.00,6096.00,1.44,1581,14.930,2011
194,HAT-P-36,b,Transit,1,1.32734700,0.063000,317.00,5560.00,1.10,1823,14.168,2011
195,HAT-P-37,b,Transit,1,2.79743600,0.058000,411.00,5500.00,0.88,1271,13.204,2011
196,HAT-P-38,b,Transit,1,4.64038200,0.067000,249.00,5330.00,0.92,1082,9.247,2012
197,HAT-P-39,b,Transit,1,3.54387000,0.000000,642.00,6430.00,1.62,1752,17.609,2012
198,HAT-P-4,b,Transit,1,3.05653600,0.000000,314.00,5860.00,1.60,1686,14.280,2007
199,HAT-P-40,b,Transit,1,4.45724300,0.000000,501.00,6080.00,2.21,1770,19.392,2012
200,HAT-P-41,b,Transit,1,2.69404700,0.000000,344.00,6390.00,1.68,1941,18.887,2012
201,HAT-P-42,b,Transit,1,4.64187800,0.000000,447.00,5743.00,1.53,1428,14.348,2012
202,HAT-P-43,b,Transit,1,3.33268700,0.000000,542.00,5645.00,1.10,1361,14.359,2012
203,HAT-P-44,b,Transit,2,4.30121900,0.044000,363.00,5295.00,0.95,1108,13.922,2014
204,HAT-P-44,c,Radial Velocity,2,872.20000000,0.494000,363.00,5295.00,0.95,,,2014
205,HAT-P-45,b,Transit,1,3.12899200,0.049000,305.00,6330.00,1.32,1652,15.984,2014
206,HAT-P-46,b,Transit,1,4.46312900,0.123000,296.00,6120.00,1.40,1458,14.392,2014
207,HAT-P-49,b,Transit,1,2.69154800,0.000000,322.00,6820.00,1.83,2131,15.838,2014
208,HAT-P-5,b,Transit,1,2.78849100,0.000000,340.00,5960.00,1.17,,14.120,2007
209,HAT-P-50,b,Transit,1,3.12201090,0.115000,497.00,6280.00,1.70,1862,14.437,2015
210,HAT-P-51,b,Transit,1,4.21802780,0.123000,470.00,5449.00,1.04,1192,14.493,2015
211,HAT-P-52,b,Transit,1,2.75359530,0.047000,385.00,5131.00,0.89,1218,11.310,2015
212,HAT-P-53,b,Transit,1,1.96162410,0.134000,719.00,5956.00,1.21,1778,14.773,2015
213,HAT-P-54,b,Transit,1,3.79984700,0.074000,,4390.00,0.62,818,10.581,2015
214,HAT-P-55,b,Transit,1,3.58524670,0.139000,480.00,5808.00,1.01,1313,13.249,2015
215,HAT-P-56,b,Transit,1,2.79083270,0.246000,310.50,6566.00,1.43,1840,16.432,2015
216,HAT-P-57,b,Transit,1,2.46529500,0.000000,303.00,7500.00,1.50,2200,15.838,2015
217,HAT-P-6,b,Transit,1,3.85298500,0.000000,261.00,6570.00,1.46,,14.908,2007
218,HAT-P-65,b,Transit,1,2.60545520,0.304000,841.00,5835.00,1.86,1930,21.185,2016
219,HAT-P-66,b,Transit,1,2.97208600,0.090000,927.00,6002.00,1.88,1896,17.822,2016
220,HAT-P-67,b,Transit,1,4.81010250,0.000000,320.00,6406.00,2.55,1903,23.371,2017
221,HAT-P-7,b,Transit,1,2.20473720,0.001600,320.00,6441.00,1.84,2700,16.713,2008
222,HAT-P-8,b,Transit,1,3.07637760,0.000000,230.00,6200.00,1.58,1700,16.810,2008
223,HAT-P-9,b,Transit,1,3.92289000,0.000000,480.00,6350.00,1.32,1530,15.690,2008
224,HATS-1,b,Transit,1,3.44645900,0.120000,303.00,5870.00,1.04,1359,14.594,2012
225,HATS-10,b,Transit,1,3.31284600,0.501000,496.00,5880.00,1.10,1407,10.862,2015
226,HATS-11,b,Transit,1,3.61916340,,,6060.00,1.44,,16.668,2016
227,HATS-12,b,Transit,1,3.14283470,,,6408.00,2.21,,15.513,2016
228,HATS-13,b,Transit,1,3.04404990,0.181000,476.00,5523.00,0.89,1244,13.585,2015
229,HATS-14,b,Transit,1,2.76676410,0.142000,513.00,5346.00,0.93,1276,11.646,2015
230,HATS-15,b,Transit,1,1.74748753,0.126000,689.00,5311.00,0.92,1505,12.386,2016
231,HATS-16,b,Transit,1,2.68650200,0.000000,774.00,5738.00,1.24,1592,14.572,2016
232,HATS-17,b,Transit,1,16.25461100,0.029000,339.00,5846.00,1.09,814,8.709,2016
233,HATS-18,b,Transit,1,0.83784340,0.166000,645.00,5600.00,1.02,2060,14.986,2016
234,HATS-2,b,Transit,1,1.35413300,0.000000,360.00,5227.00,0.90,1577,13.092,2013
235,HATS-22,b,Transit,1,4.72281240,0.079000,207.90,4803.00,0.69,858,10.682,2017
236,HATS-23,b,Transit,1,2.16051560,0.114000,747.00,5780.00,1.20,1654,20.849,2017
237,HATS-24,b,Transit,1,1.34849540,0.242000,510.00,6346.00,1.17,2067,16.668,2017
238,HATS-25,b,Transit,1,4.29864320,0.176000,466.00,5715.00,1.11,1277,14.123,2016
239,HATS-26,b,Transit,1,3.30238810,0.245000,907.00,6071.00,2.04,1918,19.616,2016
240,HATS-27,b,Transit,1,4.63703800,0.581000,840.00,6438.00,1.74,1659,16.814,2016
241,HATS-28,b,Transit,1,3.18107810,0.202000,521.00,5498.00,0.92,1253,13.384,2016
242,HATS-29,b,Transit,1,4.60587490,0.158000,351.00,5670.00,1.07,1212,14.022,2016
243,HATS-3,b,Transit,1,3.54785100,0.000000,453.00,6351.00,1.40,1648,15.480,2013
244,HATS-30,b,Transit,1,3.17435160,0.096000,339.00,5943.00,1.06,1414,13.171,2016
245,HATS-31,b,Transit,1,3.37796000,0.233000,872.00,6050.00,1.87,1823,18.383,2016
246,HATS-32,b,Transit,1,2.81265480,0.471000,839.00,5700.00,1.10,1437,14.000,2016
247,HATS-33,b,Transit,1,2.54955510,0.080000,255.00,5659.00,1.02,1429,13.787,2016
248,HATS-34,b,Transit,1,2.10616070,0.108000,532.00,5380.00,0.98,1445,16.029,2016
249,HATS-35,b,Transit,1,1.82099930,0.306000,557.00,6300.00,1.43,2037,16.410,2016
250,HATS-36,b,Transit,1,4.17523870,0.105000,962.00,6149.00,1.16,1356,13.843,2018
251,HATS-39,b,Transit,1,4.57763480,0.275000,773.00,6572.00,1.62,1645,17.598,2018
252,HATS-4,b,Transit,1,2.51672900,0.013000,420.00,5403.00,0.93,1315,11.433,2014
253,HATS-40,b,Transit,1,3.26427360,0.312000,1431.00,6460.00,2.26,2101,17.710,2018
254,HATS-41,b,Transit,1,4.19364900,0.380000,800.00,6424.00,1.71,1710,14.908,2018
255,HATS-42,b,Transit,1,2.29210200,0.229000,942.00,6060.00,1.48,1856,15.693,2018
256,HATS-5,b,Transit,1,4.76338700,0.019000,257.00,5304.00,0.87,1025,10.223,2014
257,HATS-50,b,Transit,1,3.82970150,0.516000,717.00,5990.00,1.12,,12.666,2017
258,HATS-51,b,Transit,1,3.34887020,0.330000,478.00,5758.00,1.44,1553,15.805,2017
259,HATS-52,b,Transit,1,1.36665436,0.246000,631.00,6010.00,1.05,1834,15.491,2017
260,HATS-53,b,Transit,1,3.85377680,0.330000,613.00,5644.00,1.10,1312,15.020,2017
261,HATS-6,b,Transit,1,3.32527250,0.000000,148.40,3724.00,0.57,713,11.187,2015
262,HATS-8,b,Transit,1,3.58389300,0.376000,829.00,5679.00,1.09,1324,9.785,2015
263,HATS-9,b,Transit,1,1.91531100,,622.00,5366.00,1.50,,13.141,2015
264,HD 100546,b,Imaging,1,,,97.00,10500.00,,,77.342,2014
265,HD 100655,b,Radial Velocity,1,157.57000000,0.085000,140.85,4861.00,9.30,,,2011
266,HD 100777,b,Radial Velocity,1,383.70000000,0.360000,52.80,5582.00,,,,2007
267,HD 10180,c,Radial Velocity,6,5.75969000,0.073000,39.02,5911.00,1.11,,,2010
268,HD 10180,d,Radial Velocity,6,16.35700000,0.131000,39.02,5911.00,1.11,,,2010
269,HD 10180,e,Radial Velocity,6,49.74800000,0.051000,39.02,5911.00,1.11,,,2010
270,HD 10180,f,Radial Velocity,6,122.74400000,0.119000,39.02,5911.00,1.11,,,2010
